ResponseIdHash,Q11_5,code1,code2,code3,code4,code5,code6
ebe7e2ced50f721ada0b8552cb92b674,It will make people lazy,overreliance,,,,,
d0c7e0a42fa2d87efddb206419a96dd4,damage to other planets,environmental-harm,extinction,,,,
9f9909863f1776fbbf302c680b717b0c,It would most likely increase criminal activity. ,aid-criminal,,,,,
e7d78d62726d0ffa042e06eeb5b90523,"Misinformation and distorted knowledge, Promotion of harmful ideologies, Undermining trust in educational resources, Polarization and division",misinformation,bias,distrust-institution,social-division,,
5e338c0647ee49bc22f8d062090490ba,screw up my finances,financial-disturbance,,,,,
2a42751454906089da1c9bdc104ee8a4,The negative impact is that the young child could be exposed to inappropriate things that the parent or grandparent would not want them to be exposed to.,misinformation,manipulate-people,mental-harm,,,
564affc289d5b70ab233da089cba347f,Death of millions of people,extinction,physical-harm,war,,,
0247931335c73a0b4bbbe16232fb2dc8,addiction to it and forget the real people. ,overreliance,social-isolation,,,,
653c94b6651f81771acd859bbedc7778,"Honestly, those who are moderately to severely mentally impaired could cause many unintentional malicious consequences if left alone with Tech-X/ Tech-X 10.",overreliance,mental-harm,incorrect-ai-output,unqualified-accessibility,,
961edca230872c3041494709cb2828a4,"I wouldn't get the best quality items or the most beneficial items, but instead would receive items the company is trying to get rid of to maximize profits.",manipulate-people,business-use,lower-quality,,,
968f2ca7ccf8f4032facf3bfc17eb0bd,kill and maim innocent people,physical-harm,,,,,
4b6400df694a607aecce753cb8ae98f7,"There would be an even greater division between the rich and poor, those who have access to the benefits of AI versus those who don't or can't afford it.",social-division,economic-disturbance,minority,,,
535905614be4145ab72d108886e39014,"A world where the individual had no choices or freedoms, all would be controlled by the rich. More extreme than presently.",bias,social-division,manipulate-people,economic-disturbance,,
25e7d0b46bf512aaca3bef34379ffa63,Your bank accounts could be compromised or your home robbed.,aid-criminal,financial-disturbance,data-security-privacy-risk,,,
780a10ee6a2804304f34d18ec72394bc,"Tech-X 10 would fail to see the human side of the people it serves, and be unable to meet their individual needs.",bias,mental-harm,incorrect-ai-output,,,
2ce49311b031cfd15806cf7527e32cc5,false faith that AI suppositions are error free and process goes forth without judgment,overreliance,incorrect-ai-output,,,,
0030c892193501bc88d8401f8939bfc9,"Personal data has already been stolen for a while, and people are tired of it. That's one more reason to reject technology. The more advanced AI becomes, the less people will let it be in control.",overreliance,data-security-privacy-risk,distrust-ai,,,
ae7bd2ea37c78ccc8443713792f9622d,The outcome would be AI “deciding” who warrants health care/ which can led to death.,bias,distrust-institution,mental-harm,physical-harm,,
38360af12146a94e506b7bb5d01ef238,Conspiracy theories would flourish and mass confusion would be prevalent. This would lead to social disruption.,misinformation,social-division,mental-harm,,,
bf5fe88dfc84a63864b371fec1fb5618,It could cause the owner financial loss.,financial-disturbance,,,,,
d839fe37d4071d458923c7c8728128a3,massive unemployment,human-labor-replacement,,,,,
766754284886a780bbb15f690aeb61f8,Job loss,human-labor-replacement,,,,,
846292910608f619a6bdbfe1146a15f9,it could make people believe climate change isn't really a problem,misinformation,bias,,,,
674058f384141831d39485aa8065cab7,The negative impact this could have is misinforming and misleading the audience. ,misinformation,manipulate-people,,,,
ff79ba1da1454746a92e9b2496f0f5fc,people could be poorly affected by misinformation,misinformation,,,,,
c9e7827fbe7e042a1f05fa5c13856285,"It would bring down our government, politicians as well as other countries. That not being the negative part but it would awaken a lot of people who would not know how to deal with the truth ",misinformation,distrust-institution,social-division,mental-harm,,
8f7d2fcc92635f2f4b718635e6cc86ed,The machine could be corrupted and cause major damage to the users life/situation.  ,incorrect-ai-output,general-harm,,,,
b4d65aceed0a76a38751abc6ad15d7a6,"Patients might not receive adequate healthcare and people might have to move to another geographic location, against their will.",economic-disturbance,hinder-medical-care,,,,
0b4a08fa2ef9537fa294d82a12d074b5,It would result in identity theft .,data-security-privacy-risk,,,,,
3f056792ae1110b2d15d925d0b189929,Not reading on our own will have negative impact on not familiarizing how sentences are constructed and how vocabularies are spelled out.,overreliance,impede-learning,,,,
643eb5ce5ffd4628b7df95fb2a9a989b,there would be o trust in the market,distrust-institution,economic-disturbance,distrust-ai,,,
e9600de19374e80684b238230ab21961,"It could cause accidents, loss of lives and property damages.",financial-disturbance,physical-harm,,,,
a9f184c26c6727739a63a18fe6688c1f,People would die all around the world.,extinction,physical-harm,war,,,
5e6fcb4004f2703be9d4f5b9c03dae57,Information could lead to potentially violence repercussions,misinformation,social-division,mental-harm,physical-harm,,
e5b58d055cf7e85a1556295276f8c7dc,There would be a lot of misinformation out there.,misinformation,,,,,
a7fc499ed69ded16e23e00c2a36f9a9c,Accidents all over into crush of robots and humans ,physical-harm,,,,,
60d44adef99af5be796b2dd24bd33f26,"someone who relies on the technology will also fail, like falling",overreliance,,,,,
a64ddcf323c53bfc242426f09458455f,They will not have a job anymore,human-labor-replacement,,,,,
32402c6238774f7c806e3cb21c0e573d,Fees and fines really mess up a budget,financial-disturbance,,,,,
ad3019edd73f89e90c5ad6abeb498d98,laziness among the youth,overreliance,,,,,
20201c2b66ffd464d8b6adbdfc3836f4,I suppose the AI could start turning on certain groups of people and herm they're back instead of helper it to feel better.,bias,mental-harm,minority,,,
91e80106d7eef35614d2487cd3b7e050,No negative impact,no-harm,,,,,
639b208cd22831cafac610ae39c25011,Untimely deaths and people not getting treatments that could save their life.,physical-harm,hinder-medical-care,,,,
0a4c7e28657b6bd5fd5ba055938b5c69,"Could stop people from having good creidt and prevent htem from buying homes, renting, employment etc. Its a big deal ",financial-disturbance,,,,,
e79299a8b60775bbab62b06615651ed6,"If someone who wants to cause harm gets into the system, they might change the results and give wrong information. This could lead to wrong treatments and hurt patients. Also, if the AI makes mistakes or faces unexpected problems, people might stop trusting it. ",misinformation,incorrect-ai-output,distrust-ai,hinder-medical-care,,
72d216b8c94c89767a52f72ef140705f,when these machines are hacked they can hurt their owners.,physical-harm,hacking-risk,,,,
900a8f0272e58439d2a91aaddc15a18a,Rival companies might used such information to their advantage  ,business-use,,,,,
c2330b9ddea7a69804f109cde289dab8,none,no-harm,,,,,
afce71b3334590a354ae67b677d6fdd2,"Severe income disparities, civil unrest, cultural wars, idol worship, public manipulation, and mass chaos",social-division,manipulate-people,economic-disturbance,general-harm,,
ce49ac6376affcbdd899736814030a51,The job market and economy would be destroyed.,economic-disturbance,human-labor-replacement,,,,
8859bc3ba5e0989f9c947f2575b9ce70,Power is always the incentive for war. The negative impact would be possibly the total destruction of earth.,extinction,war,,,,
9ff9b390943cc8629f962d25e2256f01,citizens could be killed or attacked.,physical-harm,,,,,
