ResponseIdHash,Q14_5,code1,code2,code3,code4,code5
ebe7e2ced50f721ada0b8552cb92b674,Breach of communication,miscommunication,,,,
d0c7e0a42fa2d87efddb206419a96dd4,the travel equipment would fail and people would die,physical-harm,,,,
9f9909863f1776fbbf302c680b717b0c,It could cause death in the worst case and shoddy information and technology. ,physical-harm,misinformation,lower-quality,,
e7d78d62726d0ffa042e06eeb5b90523,"Undermining trust in educational technology, Propagation of inaccurate information, Misguided learning and skill development:",misinformation,distrust-ai,impede-learning,,
5e338c0647ee49bc22f8d062090490ba,"fines, maybe jail",legal-issues,financial-disturbance,,,
2a42751454906089da1c9bdc104ee8a4,Not much negative impact. Only a bit time and money would be wasted.,financial-disturbance,waste-resources-or-time,,,
564affc289d5b70ab233da089cba347f,The expense,financial-disturbance,,,,
0247931335c73a0b4bbbe16232fb2dc8,Money wasted.,financial-disturbance,,,,
653c94b6651f81771acd859bbedc7778,I could be misrepresented by Tech-X /Tech-X 10,misinformation,distrust-ai,mental-harm,,
961edca230872c3041494709cb2828a4,"My diet and health would decline, which might be something that I don't even notice for many years.",negative-health-wellbeing,,,,
968f2ca7ccf8f4032facf3bfc17eb0bd,very bad impact on users,general-harm,,,,
4b6400df694a607aecce753cb8ae98f7,Humans may lose the capacity to do real research and experimentation by themselves.,impede-learning,overreliance,hinder-science,,
535905614be4145ab72d108886e39014,"No change, and we're still waiting for those in power to make a change. (thought we won't be waiting on ourselves to make our own changes)",no-harm,,,,
25e7d0b46bf512aaca3bef34379ffa63,You could lose your house or it could cause major damage.,physical-harm,financial-disturbance,,,
780a10ee6a2804304f34d18ec72394bc,"People's lives could be worsened, or even threatened, if they don't get essential benefits and services.",physical-harm,negative-health-wellbeing,general-harm,economic-disturbance,
2ce49311b031cfd15806cf7527e32cc5,bankruptcies,financial-disturbance,,,,
0030c892193501bc88d8401f8939bfc9,Advanced AI would simply reject humans. ,distrust-ai,social-isolation,,,
ae7bd2ea37c78ccc8443713792f9622d,The poor healthcare of people leading to perhaps death. ,physical-harm,negative-health-wellbeing,,,
38360af12146a94e506b7bb5d01ef238,History would be lost. A person's story could be completely gone from the record.,data-security-privacy-risk,information-access,,,
bf5fe88dfc84a63864b371fec1fb5618,I could cause financial losses over time.,financial-disturbance,,,,
d839fe37d4071d458923c7c8728128a3,few living wage jobs,economic-disturbance,human-labor-replacement,,,
766754284886a780bbb15f690aeb61f8,Death of people,physical-harm,,,,
