ResponseIdHash,Q6,code1,code2,code3,code4
ebe7e2ced50f721ada0b8552cb92b674,Please call my wife for me,companionship,,,
d0c7e0a42fa2d87efddb206419a96dd4,what's the best equipment to travel to Pluto,engineering-design,research,beyond-human,
9f9909863f1776fbbf302c680b717b0c,"Tech-X 10 could be used to tutor students, teach virtual classes, and vocational training. It could be used in hospitals to assist in diagnosis and explain medical terms in layman's terms for patients. ",companionship,education,,
9f9909863f1776fbbf302c680b717b0c,"Tech-X 10 could be used to tutor students, teach virtual classes, and vocational training. It could be used in hospitals to assist in diagnosis and explain medical terms in layman's terms for patients. ",education,,,
9f9909863f1776fbbf302c680b717b0c,"Tech-X 10 could be used to tutor students, teach virtual classes, and vocational training. It could be used in hospitals to assist in diagnosis and explain medical terms in layman's terms for patients. ",practical-skill-learning,,,
9f9909863f1776fbbf302c680b717b0c,"Tech-X 10 could be used to tutor students, teach virtual classes, and vocational training. It could be used in hospitals to assist in diagnosis and explain medical terms in layman's terms for patients. ",medical,,,
9f9909863f1776fbbf302c680b717b0c,"Tech-X 10 could be used to tutor students, teach virtual classes, and vocational training. It could be used in hospitals to assist in diagnosis and explain medical terms in layman's terms for patients. ",education,medical,simplification,
e7d78d62726d0ffa042e06eeb5b90523,"Scientific Discovery and Research Advancement
Global Collaboration and Communication
Education Revolution
Crisis Response and Disaster Management
Eradicating Cybersecurity Threats",research,efficient-data-analysis,,
e7d78d62726d0ffa042e06eeb5b90523,"Scientific Discovery and Research Advancement
Global Collaboration and Communication
Education Revolution
Crisis Response and Disaster Management
Eradicating Cybersecurity Threats",interpersonal-communcation,public-service,business-productivity,societal-productivity
e7d78d62726d0ffa042e06eeb5b90523,"Scientific Discovery and Research Advancement
Global Collaboration and Communication
Education Revolution
Crisis Response and Disaster Management
Eradicating Cybersecurity Threats",education,,,
e7d78d62726d0ffa042e06eeb5b90523,"Scientific Discovery and Research Advancement
Global Collaboration and Communication
Education Revolution
Crisis Response and Disaster Management
Eradicating Cybersecurity Threats",public-service,safety-policing,societal-issues,environment
e7d78d62726d0ffa042e06eeb5b90523,"Scientific Discovery and Research Advancement
Global Collaboration and Communication
Education Revolution
Crisis Response and Disaster Management
Eradicating Cybersecurity Threats",beyond-human,safety-policing,,
5e338c0647ee49bc22f8d062090490ba,"Write a will.
Fill out any forms.
Keep the computer updated.
Do mTurk tasks and pay me.
Select classical music playlists.
Call maintenance without me doing it.",legal,,,
5e338c0647ee49bc22f8d062090490ba,"Write a will.
Fill out any forms.
Keep the computer updated.
Do mTurk tasks and pay me.
Select classical music playlists.
Call maintenance without me doing it.",everyday-task-automation,,,
5e338c0647ee49bc22f8d062090490ba,"Write a will.
Fill out any forms.
Keep the computer updated.
Do mTurk tasks and pay me.
Select classical music playlists.
Call maintenance without me doing it.",everyday-task-automation,,,
5e338c0647ee49bc22f8d062090490ba,"Write a will.
Fill out any forms.
Keep the computer updated.
Do mTurk tasks and pay me.
Select classical music playlists.
Call maintenance without me doing it.",everyday-task-automation,human-labor-replacement,personal-finance,
5e338c0647ee49bc22f8d062090490ba,"Write a will.
Fill out any forms.
Keep the computer updated.
Do mTurk tasks and pay me.
Select classical music playlists.
Call maintenance without me doing it.",artistic-expression,everyday-life-assistance,,
5e338c0647ee49bc22f8d062090490ba,"Write a will.
Fill out any forms.
Keep the computer updated.
Do mTurk tasks and pay me.
Select classical music playlists.
Call maintenance without me doing it.",everyday-task-automation,,,
2a42751454906089da1c9bdc104ee8a4,"Tech-X 10 can help me diagnose medical conditions by telling it symptoms I have, what the weather is in the next day or following week, easiest route to get to somewhere, give me exercises to help with weight loss or maintain fitness.",medical,efficient-data-analysis,,
2a42751454906089da1c9bdc104ee8a4,"Tech-X 10 can help me diagnose medical conditions by telling it symptoms I have, what the weather is in the next day or following week, easiest route to get to somewhere, give me exercises to help with weight loss or maintain fitness.",efficient-data-analysis,everyday-life-assistance,,
2a42751454906089da1c9bdc104ee8a4,"Tech-X 10 can help me diagnose medical conditions by telling it symptoms I have, what the weather is in the next day or following week, easiest route to get to somewhere, give me exercises to help with weight loss or maintain fitness.",everyday-task-automation,everyday-life-assistance,,
2a42751454906089da1c9bdc104ee8a4,"Tech-X 10 can help me diagnose medical conditions by telling it symptoms I have, what the weather is in the next day or following week, easiest route to get to somewhere, give me exercises to help with weight loss or maintain fitness.",everyday-life-assistance,health,,
