ResponseIdHash,Q11_5,code1,code2,code3,code4
c3259392956599cb69c56cf11008ab0d,This kind of malicious use cases can lead to misleading discoveries affecting a large stakeholder.,misinformation,,,
274ccf2d376e944c272e6b6ee493c63d,Corruption of their mind or being introduced to inappropriate information,misinformation,manipulate-people,,
619fe9160723aa29c0967cff62e96c51,People would not do the research themselves so they would not know how cases are connected,overreliance,,,
4e80f7e563d7d561b403e5269da8ec30,The negative impact could be injury or death.,physical-harm,,,
cf0ff84c4c8c902fed4312f79452badd,"I didn't have any consequences with a negative impact with most issues could be anything from, you know, mass murder to a more widespread global catastrophe.",range,physical-harm,,
bcb9f2593721bc603fdbbd50073a5602,I can’t think of any,no-harm,,,
0b87da620e35d054fd39c8a7fad732d1,"It might make the user feel unmotivated, uninspired, or unhappy.",mental-harm,,,
c08681761f152d680e9a7925654f6525,Destruction of many friendships and enabling of malicious social interactions.,social-isolation,mental-harm,,
016ede1805476bb449b4896e129ae249,"If misused it could be the cause of the extinction of some underrepresented groups in society, or the disappearance of people",extinction,minority,,
fe233e2441a6759f22243210fcf7a49e,People could be hurt or die.,physical-harm,,,
2ce49311b031cfd15806cf7527e32cc5,false faith that AI suppositions are error free and process goes forth without judgment,overreliance,,,
e680b3a6bc63e69156914eeda737b87f,there would be loss of personal data,data-security-privacy-risk,,,
ce09d3badff9e7808cf77cf1d47b4e3a,"Patient harm and safety risks, Deterioration of healthcare trust, Public perception and resistance to adoption, Resource wastage, Security and privacy breaches",distrust-institution,data-security-privacy-risk,,
9e93816ec47d887b11ea9e90e2761754,Plagiarism,plagirism,,,
ffdd3b62fdaa6c976ada1f608d7a7e67,People would be hurt from the resulting products and actions people would make,general-harm,,,
7a8c6bfa133a5a484bc1b1126476eada,lost human interaction or caring,social-isolation,,,
ae7bd2ea37c78ccc8443713792f9622d,The outcome would be AI “deciding” who warrants health care/ which can led to death.,physical-harm,,,
4d1bc0230a89034c3956db71249c07c0,"It could be biased against a certain politican or political group, and make them seem like they are lying when they're not.",bias,misinformation,,
fe6afd166efc31adb84800071e7b93d6,"An even greater proliferation of false, hateful rhetoric.",bias,social-division,,
0b4a08fa2ef9537fa294d82a12d074b5,It would result in identity theft .,data-security-privacy-risk,,,
4747f9cebc660a102f1a3dc6b440990f,is there a negative impact of reptilian extinction?,na,,,
50b9f2f7b68fb67912f3fdbaad6a55ae,It depends on the person being abused such as a president would have far more consequences that a delivery driver.,range,,,
6be3a88c2edcbbdd99f432e15ccd3124,copyright issues,plagirism,,,
f685d70741b327e979e91b9f305cd70e,it might make people second guess the plan,distrust-ai,,,
7abebab1ea76aa1d7464ae24ecbe929b,Damages to the careers of artists,hinder-career,,,
5d89281741d8f47df529309ef2c2b7b1,The negative impact would be to not trust AI for serious situations.,distrust-ai,,,
637afe5f72698b3d974c67d2a4491bb7,aggravation of isolation in individuals in case of over-reliance.,social-isolation,overreliance,,
1112b3671c909db2bf3a13c2f9d0d4ea,"artists would lose their jobs, media would not be as good",lower-quality,human-labor-replacement,damaging-creativity,
961edca230872c3041494709cb2828a4,"I wouldn't get the best quality items or the most beneficial items, but instead would receive items the company is trying to get rid of to maximize profits.",manipulate-people,lower-quality,business-use,
919e5b2ceb92f3fbfac725def37db6cc,Patients could be harmed or deterred from seeking further treatment,distrust-institution,hinder-medical-care,,
4a0157be005bcb31b0fc8cedc24a16f4,The personal information of people could be stolen and used to harm them,data-security-privacy-risk,,,
f3ae9e3adb2fcbb94a7a36aeb108c4b3,"blood shed, destruction of homes and lives",physical-harm,economic-disturbance,war,
f4f302f038adb45b396c64d8ec7f84ad,death,physical-harm,,,
3b07b153bd77735e9660df550a4e3536,"Exploitation of vulnerabilities or intentional manipulation could lead to compromised patient safety, with incorrect diagnoses, inappropriate treatments, or exposure of individuals to harmful substances.",physical-harm,hinder-medical-care,incorrect-ai-output,hacking-risk
50510a2e37fcb1e917b80eac7078be55,People may get hurt or now know their rights,general-harm,,,
20201c2b66ffd464d8b6adbdfc3836f4,I suppose the AI could start turning on certain groups of people and herm they're back instead of helper it to feel better.,manipulate-people,general-harm,,
8e04378591141b2e35ef032cd314657f,The world would be filled with more ignorance and less tolerance for different cultures.,social-division,bias,,
f7e6fff0e588ea3ccf52708e26c2e761,The impact it would cause friends and relatives of the deceased,na,,,
a6cf5894b9be0560ac2034be738d6b41,Purpose sabotaging people just for laughs or fun. To watch them get hurt or embarrassed in some. Wasting materials.,waste-resources-or-time,mental-harm,manipulate-people,
